epoch,step,train_loss
0,49,0.00012603575305547565
0,99,0.00022392818937078118
1,149,9.116236469708383e-06
1,199,0.00014122671564109623
2,249,1.675526254985016e-05
2,299,8.348988922080025e-05
3,349,2.047014822892379e-05
3,399,4.8954210797091946e-05
4,449,1.935573891387321e-05
4,499,3.073964762734249e-05
5,549,1.4529300642607268e-05
5,599,2.0129562471993268e-05
6,649,1.0844732969417237e-05
6,699,1.3318980563781224e-05
7,749,6.426907020795625e-06
7,799,1.3386717910179868e-05
8,849,3.5950756682723295e-06
8,899,8.915700163925067e-06
9,949,1.7638977851675008e-06
9,999,9.863827472145204e-06
10,1049,6.180989657877944e-07
10,1099,5.827158929605503e-06
11,1149,1.8299152770850924e-07
11,1199,5.119121851748787e-06
12,1249,3.062212527993324e-08
12,1299,5.577133833867265e-06
13,1349,1.624105294695255e-09
13,1399,2.9277878184075234e-06
14,1449,1.4797659098064742e-08
14,1499,3.724951284311828e-06
15,1549,2.5073832787825268e-08
15,1599,1.996218543354189e-06
16,1649,2.3597896969818066e-08
16,1699,2.697619720493094e-06
17,1749,9.392934430252353e-09
17,1799,1.3982275959278923e-06
18,1849,4.128551722715201e-09
18,1899,2.025441517616855e-06
19,1949,1.9122126104775816e-10
19,1999,1.0594384320938843e-06
20,2049,1.5323584623416764e-09
20,2099,1.589979092386784e-06
21,2149,9.744205442530074e-09
21,2199,7.439732030434243e-07
22,2249,1.1622974582792267e-08
22,2299,6.111947072895418e-07
23,2349,1.979557850972924e-08
23,2399,1.7858187106867263e-07
24,2449,1.9856425836906055e-08
24,2499,2.901407754052343e-07
25,2549,1.8838823834244067e-08
25,2599,2.62835101239034e-07
26,2649,1.540558081103427e-08
26,2699,1.231883288710378e-07
27,2749,1.1653518150467335e-08
27,2799,8.448009936046219e-08
28,2849,6.623142478900945e-09
28,2899,1.992367515413207e-08
29,2949,3.991829089500243e-09
29,2999,6.619094250481794e-08
30,3049,9.606537787476555e-10
30,3099,1.841379138056709e-08
31,3149,1.8855189631850067e-10
31,3199,6.892521042800581e-08
32,3249,2.3011015315432815e-10
32,3299,9.75156133620203e-09
33,3349,1.0254466165093845e-09
33,3399,5.143627745951562e-10
34,3449,1.5212955339904966e-09
34,3499,2.2756298179160694e-08
35,3549,2.1331603150542833e-09
35,3599,3.916866830877552e-11
36,3649,1.7395864748692702e-09
36,3699,3.378458068858947e-10
37,3749,1.3025323042370474e-09
37,3799,2.1305584851916137e-08
38,3849,3.95140808961969e-10
38,3899,2.623610217966643e-10
39,3949,5.163924843287759e-12
39,3999,1.270995753088755e-09
40,4049,2.9825530933891287e-11
40,4099,1.9536461337565925e-08
41,4149,4.2654679788256544e-10
41,4199,5.004609171521679e-09
42,4249,5.307123629449961e-10
42,4299,2.0391219379689574e-08
43,4349,6.008582520422578e-10
43,4399,1.5462969571444773e-08
44,4449,3.544791682408288e-10
44,4499,1.7285135101019478e-08
45,4549,1.5723472523987425e-10
45,4599,2.7642290234553002e-08
46,4649,3.526118286245605e-11
46,4699,2.63908006559177e-08
47,4749,1.4033774142774291e-12
47,4799,2.6325482238576114e-08
48,4849,9.792167077193881e-14
48,4899,2.3160444229120003e-08
49,4949,7.274403301948951e-12
49,4999,1.5494485694489413e-08
50,5049,5.7188975777222595e-11
50,5099,1.879998379195058e-08
51,5149,9.923001309530832e-11
51,5199,2.216672889687743e-08
52,5249,1.0312689591174262e-10
52,5299,1.8730581530235213e-08
53,5349,1.0042106035612619e-10
53,5399,2.9378167454297e-08
54,5449,1.1036171976286369e-12
54,5499,2.9493213205000757e-08
55,5549,7.379702404719524e-11
55,5599,1.8031606430213287e-08
56,5649,4.3379522196573816e-11
56,5699,2.8465898083140928e-08
57,5749,1.4496492894977564e-10
57,5799,2.304041046841121e-08
58,5849,2.0956841817465488e-10
58,5899,1.770494151287494e-08
59,5949,5.551115123125783e-15
59,5999,4.092248317988378e-09
60,6049,4.620144711253715e-09
60,6099,4.0135578416311546e-08
61,6149,1.109807996613199e-07
61,6199,3.4094154166552926e-09
62,6249,4.915406748295936e-09
62,6299,2.1996228838361276e-08
63,6349,1.8035573035035668e-09
63,6399,4.601931280490135e-09
64,6449,6.92606505481308e-09
64,6499,1.6268688796117203e-07
65,6549,1.9461552369648416e-08
65,6599,1.091024444122013e-07
66,6649,7.906914589739245e-08
66,6699,3.1743027761876874e-08
67,6749,1.1710437775036553e-07
67,6799,1.3577998458913498e-07
68,6849,7.185055750369429e-08
68,6899,5.867335062248458e-08
69,6949,1.233400439559773e-07
69,6999,6.4952203615575854e-09
70,7049,4.362338756891404e-08
70,7099,1.549522835375683e-06
71,7149,1.4139889259467964e-08
71,7199,9.845521162787918e-07
72,7249,6.460440182820548e-09
72,7299,2.3575012164656073e-08
73,7349,3.6763394550831663e-09
73,7399,1.9386365579521225e-07
74,7449,1.727925891259474e-08
74,7499,9.230737418874924e-07
75,7549,8.667267792361599e-08
75,7599,2.140139265804919e-08
76,7649,6.97600796684128e-07
76,7699,6.277809916355181e-08
77,7749,1.234447353226642e-07
77,7799,2.2658565512756468e-07
78,7849,9.067682640306884e-07
78,7899,4.663901904677914e-07
79,7949,5.258859232526447e-07
79,7999,1.3821867241858854e-06
80,8049,3.758907141104828e-08
80,8099,9.698202063646022e-08
81,8149,4.696863697972731e-08
81,8199,1.7478622282851575e-07
82,8249,3.882158523538237e-07
82,8299,2.8731435008921835e-07
83,8349,8.411123531004705e-07
83,8399,1.0934654959271484e-08
84,8449,4.6380895923903154e-07
84,8499,2.753338890215673e-08
85,8549,4.5809295556864527e-07
85,8599,3.211135322089831e-07
86,8649,4.82758333308908e-10
86,8699,7.37279748364017e-08
87,8749,6.054693812984624e-08
87,8799,3.280576366115895e-10
88,8849,3.484917101559404e-07
88,8899,3.328118225454091e-09
89,8949,7.680203140125741e-08
89,8999,9.983338600250136e-08
90,9049,3.3429205359425396e-07
90,9099,8.668584428050963e-08
91,9149,9.290956626273328e-08
91,9199,3.898270595215081e-12
92,9249,6.287520903924815e-08
92,9299,3.81108939961905e-08
93,9349,6.275196540173056e-08
93,9399,2.899882929341402e-07
94,9449,2.245384678190021e-08
94,9499,2.992244958477386e-07
95,9549,6.275942610045604e-08
95,9599,3.0489991331705824e-07
96,9649,6.968542152208101e-07
96,9699,1.7408297026122455e-09
97,9749,9.32230292960412e-09
97,9799,1.895968715359686e-08
98,9849,9.09577693164465e-08
98,9899,1.2896572698650743e-11
99,9949,1.2655421599561123e-08
99,9999,3.495307510092971e-08
