epoch,step,train_loss_epoch,train_loss_step
229,2299,,26993384.0
229,2299,9987436.0,
230,2309,9835284.0,
231,2319,9684870.0,
232,2329,9536186.0,
233,2339,9389224.0,
234,2349,,24982918.0
234,2349,9243963.0,
235,2359,9100394.0,
236,2369,8958504.0,
237,2379,8818280.0,
238,2389,8679708.0,
239,2399,,23086882.0
239,2399,8542780.0,
240,2409,8407481.0,
241,2419,8273808.5,
242,2429,8141737.0,
243,2439,8011259.0,
244,2449,,21301154.0
244,2449,7882360.5,
245,2459,7755029.0,
246,2469,7629259.0,
247,2479,7505037.0,
248,2489,7382347.0,
249,2499,,19621602.0
249,2499,7261178.5,
250,2509,7141520.0,
251,2519,7023367.0,
252,2529,6906700.5,
253,2539,6791495.0,
254,2549,,18044226.0
254,2549,6677757.0,
255,2559,6565474.0,
256,2569,6454620.5,
257,2579,6345197.5,
258,2589,6237190.5,
259,2599,,16564935.0
259,2599,6130590.5,
260,2609,6025378.5,
261,2619,5921546.5,
262,2629,5819083.5,
263,2639,5717980.5,
264,2649,,15179782.0
264,2649,5618218.5,
265,2659,5519791.0,
266,2669,5422686.5,
267,2679,5326896.5,
268,2689,5232408.0,
269,2699,,13884880.0
269,2699,5139204.0,
270,2709,5047277.5,
271,2719,4956615.0,
272,2729,4867208.0,
273,2739,4779040.5,
274,2749,,12676324.0
274,2749,4692107.5,
275,2759,4606395.0,
276,2769,4521887.5,
277,2779,4438580.0,
278,2789,4356456.5,
279,2799,,11550268.0
279,2799,4275507.5,
280,2809,4195725.5,
281,2819,4117096.5,
282,2829,4039612.75,
283,2839,3963264.25,
284,2849,,10503001.0
284,2849,3888034.5,
285,2859,3813914.25,
286,2869,3740890.75,
287,2879,3668953.5,
288,2889,3598092.75,
289,2899,,9530747.0
289,2899,3528297.25,
290,2909,3459562.0,
291,2919,3391868.5,
292,2929,3325209.5,
293,2939,3259576.0,
294,2949,,8629889.0
294,2949,3194954.75,
295,2959,3131338.5,
296,2969,3068713.25,
297,2979,3007068.25,
298,2989,2946394.0,
299,2999,,7796836.5
299,2999,2886683.75,
