epoch,step,train_loss
0,49,inf
0,99,inf
1,149,inf
1,199,inf
2,249,inf
2,299,inf
3,349,inf
3,399,inf
4,449,inf
4,499,inf
5,549,inf
5,599,inf
6,649,inf
6,699,inf
7,749,inf
7,799,inf
8,849,inf
8,899,inf
9,949,inf
9,999,inf
10,1049,inf
10,1099,inf
11,1149,inf
11,1199,inf
12,1249,inf
12,1299,inf
13,1349,inf
13,1399,inf
14,1449,inf
14,1499,inf
15,1549,inf
15,1599,inf
16,1649,inf
16,1699,inf
17,1749,inf
17,1799,inf
18,1849,inf
18,1899,inf
19,1949,inf
19,1999,inf
20,2049,inf
20,2099,inf
21,2149,inf
21,2199,inf
22,2249,inf
22,2299,inf
23,2349,inf
23,2399,inf
24,2449,inf
24,2499,inf
25,2549,inf
25,2599,inf
26,2649,inf
26,2699,inf
27,2749,inf
27,2799,inf
28,2849,inf
28,2899,inf
29,2949,inf
29,2999,inf
30,3049,inf
30,3099,inf
31,3149,inf
31,3199,inf
32,3249,inf
32,3299,inf
33,3349,inf
33,3399,inf
34,3449,inf
34,3499,inf
35,3549,inf
35,3599,inf
36,3649,inf
36,3699,inf
37,3749,inf
37,3799,inf
38,3849,inf
38,3899,inf
39,3949,inf
39,3999,inf
40,4049,inf
40,4099,inf
41,4149,inf
41,4199,inf
42,4249,inf
42,4299,inf
43,4349,inf
43,4399,inf
44,4449,inf
44,4499,inf
45,4549,inf
45,4599,inf
46,4649,inf
46,4699,inf
47,4749,inf
47,4799,inf
48,4849,inf
48,4899,inf
49,4949,inf
49,4999,inf
50,5049,inf
50,5099,inf
51,5149,inf
51,5199,inf
52,5249,inf
52,5299,inf
53,5349,inf
53,5399,inf
54,5449,inf
54,5499,inf
55,5549,inf
55,5599,inf
56,5649,inf
56,5699,inf
57,5749,inf
57,5799,inf
58,5849,inf
58,5899,inf
59,5949,inf
59,5999,inf
60,6049,inf
60,6099,inf
61,6149,inf
61,6199,inf
62,6249,inf
62,6299,inf
63,6349,inf
63,6399,inf
64,6449,inf
64,6499,inf
65,6549,inf
65,6599,inf
66,6649,inf
66,6699,inf
67,6749,inf
67,6799,inf
68,6849,inf
68,6899,inf
69,6949,inf
69,6999,inf
70,7049,inf
70,7099,inf
71,7149,inf
71,7199,inf
72,7249,inf
72,7299,inf
73,7349,inf
73,7399,inf
74,7449,inf
74,7499,inf
75,7549,inf
75,7599,inf
76,7649,inf
76,7699,inf
77,7749,inf
77,7799,inf
78,7849,inf
78,7899,inf
79,7949,inf
79,7999,inf
80,8049,inf
80,8099,inf
